sysbench 1.0.15 (using bundled LuaJIT 2.1.0-beta2)

Running the test with following options:
Number of threads: 4
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Extra file open flags: directio
128 files, 1.5625GiB each
200GiB total file size
Block size 16KiB
Number of IO requests: 0
Read/Write ratio for combined random IO test: 1.50
Calling fsync() at the end of test, Enabled.
Using asynchronous I/O mode
Doing random r/w test
Initializing worker threads...

Threads started!

[ 1s ] reads: 183.89 MiB/s writes: 124.45 MiB/s fsyncs: 0.00/s latency (ms,95%): 1.025
[ 2s ] reads: 94.71 MiB/s writes: 62.52 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.710
[ 3s ] reads: 95.73 MiB/s writes: 61.63 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.433
[ 4s ] reads: 91.91 MiB/s writes: 62.03 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.389
[ 5s ] reads: 93.19 MiB/s writes: 63.50 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.389
[ 6s ] reads: 94.03 MiB/s writes: 61.39 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.522
[ 7s ] reads: 92.59 MiB/s writes: 65.75 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.433
[ 8s ] reads: 94.69 MiB/s writes: 58.94 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.389
[ 9s ] reads: 92.52 MiB/s writes: 65.37 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.389
[ 10s ] reads: 95.97 MiB/s writes: 60.17 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.477
[ 11s ] reads: 93.50 MiB/s writes: 62.08 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.760
[ 12s ] reads: 94.56 MiB/s writes: 63.19 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.389
[ 13s ] reads: 93.30 MiB/s writes: 62.20 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.433
[ 14s ] reads: 93.00 MiB/s writes: 63.11 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.433
[ 15s ] reads: 94.72 MiB/s writes: 62.75 MiB/s fsyncs: 0.00/s latency (ms,95%): 2.477
